transaction_hash,block_hash,block_number,block_timestamp,index,spent_transaction_hash,spent_output_index,script_asm,script_hex,sequence,required_signatures,type,addresses,value
d600780517515301e4b1b6189d8302b78f4d8ffdc356e5b0177691989f234636,0000000000000000000060ccbfb7e8f04728e284681c5eda3d35e87215f77936,844931,5/24/2024 14:21:46,1,b8edfe7e735fa0758dab4d3a842c4e255f6a7b8073d2b959b00eee1ff18093b2,1,,,4294967293,,witness_v0_keyhash,bc1q0ptpspj0s5qrshj2wqsw4qwh99nkk3fc6d8pg6,73172
76a022303a20b1e185c07c3af22c1077c607e6143de75c3248935b298c94d480,0000000000000000000060ccbfb7e8f04728e284681c5eda3d35e87215f77936,844931,5/24/2024 14:21:46,0,088107f04189c7a9055c787eb130b5726401035a8361225a118881042220b2ec,0,,,4294967295,,witness_v1_taproot,bc1phh3wapw5jgul2rupcgtn22jp5epsxkzu32spaxku4m994nqpc92srtm65y,22551
8195b6fff13c9445e289878aaff47b8a7ce24c73d92f2588682b5475a233895e,0000000000000000000060ccbfb7e8f04728e284681c5eda3d35e87215f77936,844931,5/24/2024 14:21:46,0,7707acac9ac204f888afca00c669aee83df36c4aaf7d7e76c46f0be4f180031a,0,,,4294967295,,witness_v1_taproot,bc1phh3wapw5jgul2rupcgtn22jp5epsxkzu32spaxku4m994nqpc92srtm65y,15216
3f4a7e19beecd0432d7a0e6105146bbc857433b06cb3de865981cb3f7305e7e6,0000000000000000000060ccbfb7e8f04728e284681c5eda3d35e87215f77936,844931,5/24/2024 14:21:46,0,f26cc4df7ee8a3d7193c694e78dd78d535ce8ad22f0e40ff42126b176e701c68,0,,,4294967295,,witness_v1_taproot,bc1phh3wapw5jgul2rupcgtn22jp5epsxkzu32spaxku4m994nqpc92srtm65y,2013
cd168c3ef74e491bdcb30dfe1b8b16548f9abc818c4c844c83ff0b3627dbc000,0000000000000000000060ccbfb7e8f04728e284681c5eda3d35e87215f77936,844931,5/24/2024 14:21:46,0,d167c7daee736e49e9287a7d118303c825c507f2b1a0afa857cb7c5832cd8904,1,,,4294967293,,witness_v0_keyhash,bc1q9aglt93aq3dsdvvfeqxvf2na9a6657j6ls7uz4,156422
172520f4fa970488a225f2d2c9e55ad3c31ab19526f58f5b2c534c5329379c88,0000000000000000000060ccbfb7e8f04728e284681c5eda3d35e87215f77936,844931,5/24/2024 14:21:46,0,cbcdfd71c5052857c1d6249d0e439055938b641079e0cb9024803fb9eb18b457,1,,,4294967293,,witness_v0_keyhash,bc1q9zfyaettc4l4g9ejdzyukw9chh9g4jqzq2kkjg,189280
23be76653e1c1705082d6c42dcb08942155272f8c1fa58b64ecd0030d49a169d,0000000000000000000060ccbfb7e8f04728e284681c5eda3d35e87215f77936,844931,5/24/2024 14:21:46,0,4d3d47916a193233ac37f8d1d495ccf80a7e045b4240bb08a84fab87026c9e73,1,,,4294967295,,witness_v0_keyhash,bc1q7e7j5u8rk6we50j2y4vgxnnqq8jwc7xsssws7q,779994
23be76653e1c1705082d6c42dcb08942155272f8c1fa58b64ecd0030d49a169d,0000000000000000000060ccbfb7e8f04728e284681c5eda3d35e87215f77936,844931,5/24/2024 14:21:46,1,2763c52a7a86d16ea831190e5f47b758c0e7ba392931c34a98ca1ec1a9eea955,1,,,4294967295,,witness_v0_keyhash,bc1q7e7j5u8rk6we50j2y4vgxnnqq8jwc7xsssws7q,1603997643
915668b169d02516b1471fbfe5504495d07109960e696bddb883fcbbb23c85dd,0000000000000000000060ccbfb7e8f04728e284681c5eda3d35e87215f77936,844931,5/24/2024 14:21:46,0,be0b8dc562a1c41ef8c87b80a68621dbee0011a743aa3272a5a4d81ab3e502db,0,,,4294967293,,witness_v1_taproot,bc1pxr0u7nxhnwlcnl4h0dx4wz5dez4jqjfuqjrcpzvzac8hlvkaf9yqfpu92c,3164
2423cb1fb26ae0633ffaa02ae53d31845bea2bdd1935928942f801dfb01fc092,0000000000000000000060ccbfb7e8f04728e284681c5eda3d35e87215f77936,844931,5/24/2024 14:21:46,0,9df8b7c1532f3788f8974e9759ddd5d94c6de8db4877b4b54967073ce5d5779a,0,,,4294967293,,witness_v0_keyhash,bc1q5ckd09lf6f98rkfmm0w88dhj6gw9es2cumpngu,397524
